scene0707_00_60: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_60_sub.bin
  scene0708_00_0: 0.8232695375438556 SUCCESS
scene0708_00_105: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_105_sub.bin
  scene0709_00_405: FAIL
  scene0717_00_150: FAIL
  scene0749_00_2010: FAIL
scene0708_00_225: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_225_sub.bin
  scene0759_00_195: FAIL
  scene0805_00_300: FAIL
  scene0720_00_0: FAIL
scene0708_00_240: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_240_sub.bin
  scene0718_00_0: FAIL
  scene0733_00_0: FAIL
  scene0802_00_930: FAIL
scene0708_00_315: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_315_sub.bin
  scene0708_00_285: 0.8391076679546025 SUCCESS
scene0708_00_345: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_345_sub.bin
  scene0791_00_1425: FAIL
  scene0789_00_450: FAIL
  scene0714_00_255: FAIL
scene0708_00_390: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_390_sub.bin
  scene0776_00_1965: FAIL
  scene0802_00_0: FAIL
  scene0794_00_0: FAIL
scene0708_00_450: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_450_sub.bin
  scene0776_00_1695: FAIL
  scene0776_00_1965: FAIL
  scene0789_00_450: FAIL
scene0708_00_645: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_645_sub.bin
  scene0774_00_210: FAIL
  scene0797_00_900: FAIL
  scene0770_00_1140: FAIL
scene0708_00_675: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_675_sub.bin
  scene0781_00_1215: FAIL
  scene0805_00_645: FAIL
  scene0783_00_0: FAIL
scene0708_00_825: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_825_sub.bin
  scene0802_00_930: FAIL
  scene0770_00_870: FAIL
  scene0718_00_120: FAIL
scene0708_00_870: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_870_sub.bin
  scene0780_00_0: FAIL
  scene0758_00_315: FAIL
  scene0749_00_2010: FAIL
scene0708_00_915: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_915_sub.bin
  scene0805_00_300: FAIL
  scene0780_00_0: FAIL
  scene0717_00_150: FAIL
scene0708_00_945: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_945_sub.bin
  scene0784_00_0: FAIL
  scene0747_00_0: FAIL
  scene0770_00_870: FAIL
scene0708_00_975: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_975_sub.bin
  scene0733_00_0: FAIL
  scene0714_00_0: FAIL
  scene0781_00_1620: FAIL
scene0708_00_1005: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_1005_sub.bin
  scene0747_00_0: FAIL
  scene0718_00_0: FAIL
  scene0787_00_2370: FAIL
scene0708_00_1050: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_1050_sub.bin
  scene0787_00_0: FAIL
  scene0797_00_525: FAIL
  scene0741_00_0: FAIL
scene0708_00_1095: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_1095_sub.bin
  scene0805_00_300: FAIL
  scene0718_00_0: FAIL
  scene0786_00_0: FAIL
scene0708_00_1110: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_1110_sub.bin
  scene0805_00_300: FAIL
  scene0786_00_0: FAIL
  scene0718_00_0: FAIL
scene0708_00_1140: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_1140_sub.bin
  scene0733_00_0: FAIL
  scene0805_00_300: FAIL
  scene0718_00_0: FAIL
scene0708_00_1155: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_1155_sub.bin
  scene0733_00_0: FAIL
  scene0714_00_0: FAIL
  scene0805_00_300: FAIL
scene0709_00_120: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_120_sub.bin
  scene0756_00_0: FAIL
  scene0752_00_240: FAIL
  scene0780_00_300: FAIL
scene0709_00_165: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_165_sub.bin
  scene0754_00_2550: FAIL
  scene0740_00_525: FAIL
  scene0716_00_0: FAIL
scene0709_00_195: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_195_sub.bin
  scene0735_00_0: FAIL
  scene0728_00_0: FAIL
  scene0724_00_0: FAIL
scene0709_00_225: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_225_sub.bin
  scene0752_00_240: FAIL
  scene0721_00_840: FAIL
  scene0780_00_300: FAIL
scene0709_00_270: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_270_sub.bin
  scene0803_00_990: FAIL
  scene0762_00_1020: FAIL
  scene0746_00_0: FAIL
scene0709_00_345: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_345_sub.bin
  scene0761_00_2595: FAIL
  scene0746_00_0: FAIL
  scene0779_00_0: FAIL
scene0709_00_450: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_450_sub.bin
  scene0709_00_405: 0.9393202946518697 SUCCESS
scene0709_00_510: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_510_sub.bin
  scene0775_00_915: FAIL
  scene0717_00_150: FAIL
  scene0709_00_405: 1.0679171803015974 SUCCESS
scene0709_00_630: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_630_sub.bin
  scene0716_00_0: FAIL
  scene0779_00_0: FAIL
  scene0746_00_0: FAIL
scene0709_00_690: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_690_sub.bin
  scene0731_00_0: FAIL
  scene0730_00_0: FAIL
  scene0712_00_0: FAIL
scene0709_00_705: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_705_sub.bin
  scene0776_00_570: FAIL
  scene0742_00_0: FAIL
  scene0785_00_1035: FAIL
scene0709_00_795: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_795_sub.bin
  scene0773_00_0: FAIL
  scene0734_00_1905: FAIL
  scene0789_00_0: FAIL
scene0709_00_825: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_825_sub.bin
  scene0735_00_0: FAIL
  scene0728_00_0: FAIL
  scene0755_00_3030: FAIL
scene0709_00_840: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_840_sub.bin
  scene0746_00_165: FAIL
  scene0734_00_1905: FAIL
  scene0772_00_435: FAIL
scene0709_00_885: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0709_00/scene0709_00_885_sub.bin
  scene0746_00_165: FAIL
  scene0734_00_1905: FAIL
  scene0719_00_0: FAIL
scene0710_00_195: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_195_sub.bin
  scene0773_00_0: FAIL
  scene0752_00_0: FAIL
  scene0775_00_915: FAIL
scene0710_00_435: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_435_sub.bin
  scene0754_00_2295: FAIL
  scene0733_00_810: FAIL
  scene0769_00_0: FAIL
scene0710_00_525: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_525_sub.bin
  scene0773_00_0: FAIL
  scene0799_00_645: FAIL
  scene0742_00_0: FAIL
scene0710_00_750: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_750_sub.bin
  scene0716_00_480: FAIL
  scene0749_00_2205: FAIL
  scene0707_00_0: FAIL
scene0710_00_810: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_810_sub.bin
  scene0742_00_0: FAIL
  scene0773_00_0: FAIL
  scene0710_00_0: 0.6805312617195224 SUCCESS
scene0710_00_900: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_900_sub.bin
  scene0773_00_0: FAIL
  scene0778_00_0: FAIL
  scene0742_00_0: FAIL
scene0710_00_960: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_960_sub.bin
  scene0780_00_0: FAIL
  scene0733_00_1275: FAIL
  scene0790_00_0: FAIL
scene0710_00_1020: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1020_sub.bin
  scene0716_00_180: FAIL
  scene0780_00_0: FAIL
  scene0758_00_315: FAIL
scene0710_00_1095: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1095_sub.bin
  scene0780_00_0: FAIL
  scene0774_00_0: FAIL
  scene0790_00_0: FAIL
scene0710_00_1170: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1170_sub.bin
  scene0753_00_0: FAIL
  scene0762_00_0: FAIL
  scene0789_00_720: FAIL
scene0710_00_1230: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1230_sub.bin
  scene0768_00_0: FAIL
  scene0733_00_810: FAIL
  scene0769_00_0: FAIL
scene0710_00_1350: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1350_sub.bin
  scene0717_00_345: FAIL
  scene0716_00_480: FAIL
  scene0707_00_0: FAIL
scene0710_00_1455: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1455_sub.bin
  scene0793_00_1950: FAIL
  scene0758_00_315: FAIL
  scene0716_00_180: FAIL
scene0710_00_1485: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1485_sub.bin
  scene0711_00_315: FAIL
  scene0710_00_0: 2.1394397310552686 SUCCESS
scene0710_00_1515: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1515_sub.bin
  scene0778_00_0: FAIL
  scene0781_00_0: FAIL
  scene0803_00_0: FAIL
scene0710_00_1605: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1605_sub.bin
  scene0758_00_0: FAIL
  scene0788_00_870: FAIL
  scene0733_00_1275: FAIL
scene0710_00_1680: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1680_sub.bin
  scene0749_00_2010: FAIL
  scene0758_00_315: FAIL
  scene0793_00_1950: FAIL
scene0710_00_1725: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1725_sub.bin
  scene0774_00_0: FAIL
  scene0759_00_195: FAIL
  scene0788_00_870: FAIL
scene0710_00_1800: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0710_00/scene0710_00_1800_sub.bin
  scene0785_00_2970: FAIL
  scene0786_00_375: FAIL
  scene0754_00_2295: FAIL
scene0711_00_135: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_135_sub.bin
  scene0708_00_0: FAIL
  scene0803_00_0: FAIL
  scene0709_00_0: FAIL
scene0711_00_180: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_180_sub.bin
  scene0761_00_390: FAIL
  scene0789_00_720: FAIL
  scene0793_00_0: FAIL
scene0711_00_225: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_225_sub.bin
  scene0724_00_0: FAIL
  scene0735_00_0: FAIL
  scene0775_00_450: FAIL
scene0711_00_270: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_270_sub.bin
  scene0713_00_0: FAIL
  scene0733_00_810: FAIL
  scene0754_00_2295: FAIL
scene0711_00_360: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_360_sub.bin
  scene0760_00_0: FAIL
  scene0791_00_0: FAIL
  scene0738_00_465: FAIL
scene0711_00_405: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_405_sub.bin
  scene0805_00_645: FAIL
  scene0760_00_0: FAIL
  scene0781_00_1215: FAIL
scene0711_00_465: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_465_sub.bin
  scene0736_00_4260: FAIL
  scene0716_00_270: FAIL
  scene0739_00_0: FAIL
scene0711_00_510: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_510_sub.bin
  scene0762_00_1020: FAIL
  scene0803_00_990: FAIL
  scene0757_00_0: FAIL
scene0711_00_540: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_540_sub.bin
  scene0757_00_1140: FAIL
  scene0736_00_3600: FAIL
  scene0774_00_0: FAIL
scene0711_00_570: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_570_sub.bin
  scene0799_00_645: FAIL
  scene0717_00_150: FAIL
  scene0752_00_0: FAIL
scene0711_00_600: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_600_sub.bin
  scene0745_00_0: FAIL
  scene0785_00_0: FAIL
  scene0785_00_2970: FAIL
scene0711_00_675: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_675_sub.bin
  scene0766_00_0: FAIL
  scene0767_00_0: FAIL
  scene0743_00_0: FAIL
scene0711_00_735: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_735_sub.bin
  scene0793_00_630: FAIL
  scene0803_00_0: FAIL
  scene0790_00_570: FAIL
scene0711_00_795: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_795_sub.bin
  scene0733_00_1275: FAIL
  scene0749_00_2010: FAIL
  scene0774_00_0: FAIL
scene0711_00_840: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_840_sub.bin
  scene0743_00_0: FAIL
  scene0728_00_0: FAIL
  scene0767_00_0: FAIL
scene0711_00_915: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_915_sub.bin
  scene0756_00_0: FAIL
  scene0707_00_0: FAIL
  scene0716_00_480: FAIL
scene0711_00_990: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_990_sub.bin
  scene0746_00_0: FAIL
  scene0761_00_2595: FAIL
  scene0779_00_0: FAIL
scene0711_00_1065: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1065_sub.bin
  scene0776_00_0: FAIL
  scene0733_00_1275: FAIL
  scene0752_00_0: FAIL
scene0711_00_1095: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1095_sub.bin
  scene0744_00_0: FAIL
  scene0756_00_255: FAIL
  scene0780_00_0: FAIL
scene0711_00_1170: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1170_sub.bin
  scene0734_00_1905: FAIL
  scene0716_00_270: FAIL
  scene0746_00_165: FAIL
scene0711_00_1200: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1200_sub.bin
  scene0802_00_930: FAIL
  scene0719_00_0: FAIL
  scene0734_00_1905: FAIL
scene0711_00_1260: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1260_sub.bin
  scene0776_00_0: FAIL
  scene0788_00_870: FAIL
  scene0717_00_150: FAIL
scene0711_00_1320: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1320_sub.bin
  scene0776_00_0: FAIL
  scene0746_00_165: FAIL
  scene0716_00_270: FAIL
scene0711_00_1380: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1380_sub.bin
  scene0733_00_1275: FAIL
  scene0775_00_915: FAIL
  scene0708_00_0: FAIL
scene0711_00_1455: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1455_sub.bin
  scene0720_00_0: FAIL
  scene0733_00_1275: FAIL
  scene0755_00_0: FAIL
scene0711_00_1575: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1575_sub.bin
  scene0796_00_0: FAIL
  scene0780_00_0: FAIL
  scene0756_00_255: FAIL
scene0711_00_1635: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1635_sub.bin
  scene0713_00_0: FAIL
  scene0778_00_0: FAIL
  scene0785_00_1035: FAIL
scene0711_00_1725: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1725_sub.bin
  scene0804_00_0: FAIL
  scene0785_00_0: FAIL
  scene0768_00_0: FAIL
scene0711_00_1875: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1875_sub.bin
  scene0802_00_930: FAIL
  scene0747_00_0: FAIL
  scene0739_00_0: FAIL
scene0711_00_1935: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1935_sub.bin
  scene0790_00_570: FAIL
  scene0785_00_735: FAIL
  scene0775_00_915: FAIL
scene0711_00_1995: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_1995_sub.bin
  scene0799_00_645: FAIL
  scene0780_00_0: FAIL
  scene0733_00_1275: FAIL
scene0711_00_2100: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2100_sub.bin
  scene0739_00_0: FAIL
  scene0736_00_4260: FAIL
  scene0719_00_0: FAIL
scene0711_00_2160: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2160_sub.bin
  scene0797_00_525: FAIL
  scene0803_00_0: FAIL
  scene0768_00_0: FAIL
scene0711_00_2190: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2190_sub.bin
  scene0754_00_2295: FAIL
  scene0711_00_315: 1.0215864579241531 SUCCESS
scene0711_00_2220: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2220_sub.bin
  scene0713_00_0: FAIL
  scene0793_00_1950: FAIL
  scene0778_00_0: FAIL
scene0711_00_2250: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2250_sub.bin
  scene0797_00_0: FAIL
  scene0757_00_2535: FAIL
  scene0716_00_570: FAIL
scene0711_00_2295: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2295_sub.bin
  scene0712_00_0: FAIL
  scene0763_00_0: FAIL
  scene0731_00_0: FAIL
scene0711_00_2370: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2370_sub.bin
  scene0735_00_0: FAIL
  scene0728_00_0: FAIL
  scene0724_00_0: FAIL
scene0711_00_2400: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2400_sub.bin
  scene0777_00_975: FAIL
  scene0724_00_0: FAIL
  scene0775_00_450: FAIL
scene0711_00_2460: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2460_sub.bin
  scene0788_00_0: FAIL
  scene0790_00_0: FAIL
  scene0776_00_0: FAIL
scene0711_00_2595: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2595_sub.bin
  scene0776_00_570: FAIL
  scene0742_00_0: FAIL
  scene0778_00_0: FAIL
scene0711_00_2760: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2760_sub.bin
  scene0790_00_0: FAIL
  scene0780_00_1215: FAIL
  scene0775_00_915: FAIL
scene0711_00_2805: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2805_sub.bin
  scene0742_00_0: FAIL
  scene0781_00_0: FAIL
  scene0792_00_0: FAIL
scene0711_00_2835: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_2835_sub.bin
  scene0785_00_2970: FAIL
  scene0785_00_0: FAIL
  scene0745_00_0: FAIL
scene0711_00_3015: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_3015_sub.bin
  scene0733_00_1275: FAIL
  scene0759_00_195: FAIL
  scene0780_00_0: FAIL
scene0711_00_3060: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_3060_sub.bin
  scene0786_00_0: FAIL
  scene0755_00_0: FAIL
  scene0776_00_0: FAIL
scene0711_00_3150: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_3150_sub.bin
  scene0756_00_255: FAIL
  scene0736_00_3600: FAIL
  scene0757_00_1140: FAIL
scene0711_00_3225: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_3225_sub.bin
  scene0796_00_0: FAIL
  scene0715_00_0: FAIL
  scene0780_00_0: FAIL
scene0711_00_3315: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_3315_sub.bin
  scene0733_00_1275: FAIL
  scene0799_00_645: FAIL
  scene0774_00_0: FAIL
scene0711_00_3330: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0711_00/scene0711_00_3330_sub.bin
  scene0742_00_0: FAIL
  scene0798_00_195: FAIL
  scene0745_00_0: FAIL
scene0712_00_315: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0712_00/scene0712_00_315_sub.bin
  scene0763_00_0: FAIL
  scene0712_00_0: 0.7464909924831532 SUCCESS
scene0712_00_465: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0712_00/scene0712_00_465_sub.bin
  scene0775_00_915: FAIL
  scene0803_00_0: FAIL
  scene0790_00_0: FAIL
scene0712_00_540: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0712_00/scene0712_00_540_sub.bin
  scene0752_00_240: FAIL
  scene0780_00_300: FAIL
  scene0756_00_0: FAIL
