scene0707_00_60: scans/scene0707_00/pnvlad_pcd/scene0707_00_60_sub.bin
scene0708_00_450: scans/scene0708_00/pnvlad_pcd/scene0708_00_450_sub.bin
--scene0796_00_0: FAIL
--scene0776_00_570: FAIL
--scene0777_00_435: FAIL
scene0708_00_645: scans/scene0708_00/pnvlad_pcd/scene0708_00_645_sub.bin
--scene0776_00_2370: FAIL
--scene0791_00_1290: FAIL
--scene0714_00_0: FAIL
scene0708_00_675: scans/scene0708_00/pnvlad_pcd/scene0708_00_675_sub.bin
--scene0714_00_0: FAIL
--scene0781_00_1215: FAIL
--scene0774_00_945: FAIL
scene0708_00_825: scans/scene0708_00/pnvlad_pcd/scene0708_00_825_sub.bin
--scene0781_00_1215: FAIL
--scene0744_00_765: FAIL
--scene0780_00_0: FAIL
scene0708_00_870: scans/scene0708_00/pnvlad_pcd/scene0708_00_870_sub.bin
--scene0760_00_0: FAIL
--scene0768_00_1095: FAIL
--scene0709_00_0: FAIL
scene0708_00_915: scans/scene0708_00/pnvlad_pcd/scene0708_00_915_sub.bin
--scene0788_00_0: FAIL
--scene0758_00_0: FAIL
--scene0785_00_735: FAIL
scene0708_00_945: scans/scene0708_00/pnvlad_pcd/scene0708_00_945_sub.bin
--scene0757_00_0: FAIL
--scene0761_00_2595: FAIL
--scene0725_00_0: FAIL
scene0708_00_975: scans/scene0708_00/pnvlad_pcd/scene0708_00_975_sub.bin
--scene0733_00_0: FAIL
--scene0761_00_2040: FAIL
--scene0770_00_870: FAIL
scene0708_00_1005: scans/scene0708_00/pnvlad_pcd/scene0708_00_1005_sub.bin
--scene0793_00_315: FAIL
--scene0761_00_2040: FAIL
--scene0725_00_0: FAIL
scene0708_00_1050: scans/scene0708_00/pnvlad_pcd/scene0708_00_1050_sub.bin
--scene0757_00_1140: FAIL
--scene0760_00_0: FAIL
--scene0761_00_2040: FAIL
scene0708_00_1095: scans/scene0708_00/pnvlad_pcd/scene0708_00_1095_sub.bin
--scene0777_00_435: FAIL
--scene0776_00_570: FAIL
--scene0802_00_930: FAIL
scene0708_00_1110: scans/scene0708_00/pnvlad_pcd/scene0708_00_1110_sub.bin
--scene0783_00_0: FAIL
--scene0747_00_105: FAIL
--scene0725_00_0: FAIL
scene0708_00_1140: scans/scene0708_00/pnvlad_pcd/scene0708_00_1140_sub.bin
--scene0795_00_0: FAIL
--scene0802_00_930: FAIL
--scene0757_00_1140: FAIL
scene0708_00_1155: scans/scene0708_00/pnvlad_pcd/scene0708_00_1155_sub.bin
--scene0757_00_1140: FAIL
--scene0761_00_2040: FAIL
--scene0760_00_0: FAIL
scene0709_00_120: scans/scene0709_00/pnvlad_pcd/scene0709_00_120_sub.bin
--scene0707_00_0: FAIL
--scene0725_00_0: FAIL
--scene0761_00_2040: FAIL
scene0709_00_165: scans/scene0709_00/pnvlad_pcd/scene0709_00_165_sub.bin
--scene0744_00_765: FAIL
--scene0731_00_0: FAIL
--scene0734_00_1155: FAIL
scene0709_00_195: scans/scene0709_00/pnvlad_pcd/scene0709_00_195_sub.bin
--scene0805_00_300: FAIL
--scene0751_00_0: FAIL
--scene0741_00_0: FAIL
scene0709_00_225: scans/scene0709_00/pnvlad_pcd/scene0709_00_225_sub.bin
--scene0717_00_150: FAIL
--scene0731_00_0: FAIL
--scene0744_00_765: FAIL
scene0709_00_270: scans/scene0709_00/pnvlad_pcd/scene0709_00_270_sub.bin
--scene0754_00_2295: FAIL
--scene0712_00_0: FAIL
--scene0785_00_735: FAIL
scene0709_00_345: scans/scene0709_00/pnvlad_pcd/scene0709_00_345_sub.bin
--scene0801_00_0: FAIL
--scene0803_00_0: FAIL
--scene0763_00_0: FAIL
scene0709_00_450: scans/scene0709_00/pnvlad_pcd/scene0709_00_450_sub.bin
--scene0709_00_735: 2.375461079234879 SUCCESS
scene0709_00_510: scans/scene0709_00/pnvlad_pcd/scene0709_00_510_sub.bin
--scene0761_00_2595: FAIL
--scene0776_00_570: FAIL
--scene0717_00_150: FAIL
scene0709_00_630: scans/scene0709_00/pnvlad_pcd/scene0709_00_630_sub.bin
--scene0761_00_2595: FAIL
--scene0746_00_0: FAIL
--scene0752_00_120: FAIL
scene0709_00_690: scans/scene0709_00/pnvlad_pcd/scene0709_00_690_sub.bin
--scene0779_00_0: FAIL
--scene0719_00_345: FAIL
--scene0753_00_0: FAIL
scene0709_00_705: scans/scene0709_00/pnvlad_pcd/scene0709_00_705_sub.bin
--scene0784_00_0: FAIL
--scene0742_00_0: FAIL
--scene0716_00_270: FAIL
scene0709_00_795: scans/scene0709_00/pnvlad_pcd/scene0709_00_795_sub.bin
--scene0707_00_0: FAIL
--scene0767_00_0: FAIL
--scene0709_00_735: 0.8883222486916758 SUCCESS
scene0709_00_825: scans/scene0709_00/pnvlad_pcd/scene0709_00_825_sub.bin
--scene0737_00_0: FAIL
--scene0778_00_0: FAIL
--scene0735_00_0: FAIL
scene0709_00_840: scans/scene0709_00/pnvlad_pcd/scene0709_00_840_sub.bin
--scene0757_00_1140: FAIL
--scene0709_00_0: 0.6499964469963952 SUCCESS
scene0709_00_885: scans/scene0709_00/pnvlad_pcd/scene0709_00_885_sub.bin
--scene0757_00_1140: FAIL
--scene0793_00_1245: FAIL
--scene0777_00_435: FAIL
scene0710_00_195: scans/scene0710_00/pnvlad_pcd/scene0710_00_195_sub.bin
--scene0803_00_990: FAIL
--scene0720_00_0: FAIL
--scene0790_00_570: FAIL
scene0710_00_435: scans/scene0710_00/pnvlad_pcd/scene0710_00_435_sub.bin
--scene0757_00_2535: FAIL
--scene0790_00_570: FAIL
--scene0738_00_0: FAIL
scene0710_00_525: scans/scene0710_00/pnvlad_pcd/scene0710_00_525_sub.bin
--scene0725_00_0: FAIL
--scene0744_00_765: FAIL
--scene0720_00_0: FAIL
scene0710_00_750: scans/scene0710_00/pnvlad_pcd/scene0710_00_750_sub.bin
--scene0785_00_735: FAIL
--scene0744_00_765: FAIL
--scene0803_00_990: FAIL
scene0710_00_810: scans/scene0710_00/pnvlad_pcd/scene0710_00_810_sub.bin
--scene0716_00_180: FAIL
--scene0786_00_375: FAIL
--scene0725_00_0: FAIL
scene0710_00_900: scans/scene0710_00/pnvlad_pcd/scene0710_00_900_sub.bin
--scene0778_00_0: FAIL
--scene0737_00_0: FAIL
--scene0758_00_315: FAIL
scene0710_00_960: scans/scene0710_00/pnvlad_pcd/scene0710_00_960_sub.bin
--scene0747_00_2325: FAIL
--scene0767_00_0: FAIL
--scene0784_00_0: FAIL
scene0710_00_1020: scans/scene0710_00/pnvlad_pcd/scene0710_00_1020_sub.bin
--scene0752_00_120: FAIL
--scene0753_00_0: FAIL
--scene0707_00_0: FAIL
scene0710_00_1095: scans/scene0710_00/pnvlad_pcd/scene0710_00_1095_sub.bin
--scene0721_00_1200: FAIL
--scene0787_00_0: FAIL
--scene0744_00_765: FAIL
scene0710_00_1170: scans/scene0710_00/pnvlad_pcd/scene0710_00_1170_sub.bin
--scene0790_00_570: FAIL
--scene0730_00_0: FAIL
--scene0797_00_0: FAIL
scene0710_00_1230: scans/scene0710_00/pnvlad_pcd/scene0710_00_1230_sub.bin
--scene0730_00_0: FAIL
--scene0797_00_0: FAIL
--scene0785_00_1035: FAIL
scene0710_00_1350: scans/scene0710_00/pnvlad_pcd/scene0710_00_1350_sub.bin
--scene0744_00_765: FAIL
--scene0722_00_0: FAIL
--scene0725_00_0: FAIL
scene0710_00_1455: scans/scene0710_00/pnvlad_pcd/scene0710_00_1455_sub.bin
--scene0707_00_0: FAIL
--scene0749_00_2205: FAIL
--scene0757_00_0: FAIL
scene0710_00_1485: scans/scene0710_00/pnvlad_pcd/scene0710_00_1485_sub.bin
--scene0754_00_2295: FAIL
--scene0778_00_0: FAIL
--scene0711_00_0: FAIL
scene0710_00_1515: scans/scene0710_00/pnvlad_pcd/scene0710_00_1515_sub.bin
--scene0731_00_0: FAIL
--scene0785_00_735: FAIL
--scene0721_00_1200: FAIL
scene0710_00_1605: scans/scene0710_00/pnvlad_pcd/scene0710_00_1605_sub.bin
--scene0748_00_0: FAIL
--scene0725_00_0: FAIL
--scene0757_00_1590: FAIL
scene0710_00_1680: scans/scene0710_00/pnvlad_pcd/scene0710_00_1680_sub.bin
--scene0744_00_765: FAIL
--scene0753_00_795: FAIL
--scene0736_00_4260: FAIL
scene0710_00_1725: scans/scene0710_00/pnvlad_pcd/scene0710_00_1725_sub.bin
--scene0738_00_0: FAIL
--scene0725_00_0: FAIL
--scene0755_00_0: FAIL
scene0710_00_1800: scans/scene0710_00/pnvlad_pcd/scene0710_00_1800_sub.bin
--scene0785_00_735: FAIL
--scene0746_00_0: FAIL
--scene0760_00_0: FAIL
scene0711_00_135: scans/scene0711_00/pnvlad_pcd/scene0711_00_135_sub.bin
--scene0763_00_0: FAIL
--scene0735_00_0: FAIL
--scene0767_00_0: FAIL
scene0711_00_180: scans/scene0711_00/pnvlad_pcd/scene0711_00_180_sub.bin
--scene0755_00_3030: FAIL
--scene0723_00_0: FAIL
--scene0763_00_0: FAIL
scene0711_00_225: scans/scene0711_00/pnvlad_pcd/scene0711_00_225_sub.bin
--scene0775_00_915: FAIL
--scene0735_00_0: FAIL
--scene0754_00_2295: FAIL
scene0711_00_270: scans/scene0711_00/pnvlad_pcd/scene0711_00_270_sub.bin
--scene0755_00_3030: FAIL
--scene0780_00_300: FAIL
--scene0719_00_345: FAIL
scene0711_00_360: scans/scene0711_00/pnvlad_pcd/scene0711_00_360_sub.bin
--scene0756_00_255: FAIL
--scene0772_00_435: FAIL
--scene0751_00_0: FAIL
scene0711_00_405: scans/scene0711_00/pnvlad_pcd/scene0711_00_405_sub.bin
--scene0783_00_0: FAIL
--scene0773_00_0: FAIL
--scene0776_00_570: FAIL
scene0711_00_465: scans/scene0711_00/pnvlad_pcd/scene0711_00_465_sub.bin
--scene0720_00_0: FAIL
--scene0763_00_0: FAIL
--scene0746_00_165: FAIL
scene0711_00_510: scans/scene0711_00/pnvlad_pcd/scene0711_00_510_sub.bin
--scene0707_00_0: FAIL
--scene0747_00_2325: FAIL
--scene0757_00_1590: FAIL
scene0711_00_540: scans/scene0711_00/pnvlad_pcd/scene0711_00_540_sub.bin
--scene0753_00_0: FAIL
--scene0768_00_1095: FAIL
--scene0736_00_0: FAIL
scene0711_00_570: scans/scene0711_00/pnvlad_pcd/scene0711_00_570_sub.bin
--scene0725_00_0: FAIL
--scene0720_00_0: FAIL
--scene0748_00_0: FAIL
scene0711_00_600: scans/scene0711_00/pnvlad_pcd/scene0711_00_600_sub.bin
--scene0758_00_315: FAIL
--scene0757_00_1590: FAIL
--scene0738_00_0: FAIL
scene0711_00_675: scans/scene0711_00/pnvlad_pcd/scene0711_00_675_sub.bin
--scene0757_00_1140: FAIL
--scene0797_00_0: FAIL
--scene0723_00_0: FAIL
scene0711_00_735: scans/scene0711_00/pnvlad_pcd/scene0711_00_735_sub.bin
--scene0757_00_1140: FAIL
--scene0737_00_0: FAIL
--scene0754_00_2295: FAIL
scene0711_00_795: scans/scene0711_00/pnvlad_pcd/scene0711_00_795_sub.bin
--scene0757_00_1140: FAIL
--scene0761_00_2595: FAIL
--scene0753_00_435: FAIL
scene0711_00_840: scans/scene0711_00/pnvlad_pcd/scene0711_00_840_sub.bin
--scene0782_00_885: FAIL
--scene0760_00_420: FAIL
--scene0728_00_0: FAIL
scene0711_00_915: scans/scene0711_00/pnvlad_pcd/scene0711_00_915_sub.bin
--scene0763_00_0: FAIL
--scene0766_00_0: FAIL
--scene0735_00_0: FAIL
scene0711_00_990: scans/scene0711_00/pnvlad_pcd/scene0711_00_990_sub.bin
--scene0752_00_120: FAIL
--scene0747_00_2325: FAIL
--scene0748_00_0: FAIL
scene0711_00_1065: scans/scene0711_00/pnvlad_pcd/scene0711_00_1065_sub.bin
--scene0746_00_0: FAIL
--scene0757_00_1590: FAIL
--scene0776_00_570: FAIL
scene0711_00_1095: scans/scene0711_00/pnvlad_pcd/scene0711_00_1095_sub.bin
--scene0761_00_2595: FAIL
--scene0760_00_0: FAIL
--scene0776_00_570: FAIL
scene0711_00_1170: scans/scene0711_00/pnvlad_pcd/scene0711_00_1170_sub.bin
--scene0757_00_1590: FAIL
--scene0760_00_0: FAIL
--scene0770_00_870: FAIL
scene0711_00_1200: scans/scene0711_00/pnvlad_pcd/scene0711_00_1200_sub.bin
--scene0752_00_120: FAIL
--scene0757_00_1590: FAIL
--scene0793_00_1245: FAIL
scene0711_00_1260: scans/scene0711_00/pnvlad_pcd/scene0711_00_1260_sub.bin
--scene0720_00_0: FAIL
--scene0787_00_0: FAIL
--scene0763_00_0: FAIL
scene0711_00_1320: scans/scene0711_00/pnvlad_pcd/scene0711_00_1320_sub.bin
--scene0725_00_0: FAIL
--scene0747_00_2325: FAIL
--scene0787_00_0: FAIL
scene0711_00_1380: scans/scene0711_00/pnvlad_pcd/scene0711_00_1380_sub.bin
--scene0736_00_0: FAIL
--scene0787_00_0: FAIL
--scene0752_00_120: FAIL
scene0711_00_1455: scans/scene0711_00/pnvlad_pcd/scene0711_00_1455_sub.bin
--scene0725_00_0: FAIL
--scene0744_00_765: FAIL
--scene0757_00_1140: FAIL
scene0711_00_1575: scans/scene0711_00/pnvlad_pcd/scene0711_00_1575_sub.bin
--scene0752_00_120: FAIL
--scene0783_00_0: FAIL
--scene0784_00_900: FAIL
scene0711_00_1635: scans/scene0711_00/pnvlad_pcd/scene0711_00_1635_sub.bin
--scene0757_00_1590: FAIL
--scene0787_00_0: FAIL
--scene0784_00_900: FAIL
scene0711_00_1725: scans/scene0711_00/pnvlad_pcd/scene0711_00_1725_sub.bin
--scene0760_00_420: FAIL
--scene0728_00_0: FAIL
--scene0709_00_0: FAIL
scene0711_00_1875: scans/scene0711_00/pnvlad_pcd/scene0711_00_1875_sub.bin
--scene0785_00_1035: FAIL
--scene0716_00_180: FAIL
--scene0757_00_1590: FAIL
scene0711_00_1935: scans/scene0711_00/pnvlad_pcd/scene0711_00_1935_sub.bin
--scene0736_00_4260: FAIL
--scene0787_00_0: FAIL
--scene0752_00_240: FAIL
scene0711_00_1995: scans/scene0711_00/pnvlad_pcd/scene0711_00_1995_sub.bin
--scene0736_00_0: FAIL
--scene0725_00_0: FAIL
--scene0746_00_165: FAIL
scene0711_00_2100: scans/scene0711_00/pnvlad_pcd/scene0711_00_2100_sub.bin
--scene0757_00_1140: FAIL
--scene0752_00_120: FAIL
--scene0717_00_150: FAIL
scene0711_00_2160: scans/scene0711_00/pnvlad_pcd/scene0711_00_2160_sub.bin
--scene0741_00_0: FAIL
--scene0767_00_0: FAIL
--scene0709_00_735: FAIL
scene0711_00_2190: scans/scene0711_00/pnvlad_pcd/scene0711_00_2190_sub.bin
--scene0754_00_2295: FAIL
--scene0767_00_0: FAIL
--scene0713_00_0: FAIL
scene0711_00_2220: scans/scene0711_00/pnvlad_pcd/scene0711_00_2220_sub.bin
--scene0786_00_0: FAIL
--scene0774_00_0: FAIL
--scene0754_00_2295: FAIL
scene0711_00_2250: scans/scene0711_00/pnvlad_pcd/scene0711_00_2250_sub.bin
--scene0779_00_0: FAIL
--scene0733_00_810: FAIL
--scene0709_00_0: FAIL
scene0711_00_2295: scans/scene0711_00/pnvlad_pcd/scene0711_00_2295_sub.bin
--scene0728_00_0: FAIL
--scene0737_00_0: FAIL
--scene0717_00_150: FAIL
scene0711_00_2370: scans/scene0711_00/pnvlad_pcd/scene0711_00_2370_sub.bin
--scene0797_00_525: FAIL
--scene0721_00_0: FAIL
--scene0740_00_525: FAIL
scene0711_00_2400: scans/scene0711_00/pnvlad_pcd/scene0711_00_2400_sub.bin
--scene0732_00_0: FAIL
--scene0717_00_150: FAIL
--scene0749_00_2205: FAIL
scene0711_00_2460: scans/scene0711_00/pnvlad_pcd/scene0711_00_2460_sub.bin
--scene0762_00_1020: FAIL
--scene0777_00_975: FAIL
--scene0717_00_150: FAIL
scene0711_00_2595: scans/scene0711_00/pnvlad_pcd/scene0711_00_2595_sub.bin
--scene0749_00_2205: FAIL
--scene0734_00_1155: FAIL
--scene0747_00_2325: FAIL
scene0711_00_2760: scans/scene0711_00/pnvlad_pcd/scene0711_00_2760_sub.bin
--scene0707_00_0: FAIL
--scene0735_00_0: FAIL
--scene0754_00_2295: FAIL
scene0711_00_2805: scans/scene0711_00/pnvlad_pcd/scene0711_00_2805_sub.bin
--scene0783_00_0: FAIL
--scene0740_00_525: FAIL
--scene0761_00_2595: FAIL
scene0711_00_2835: scans/scene0711_00/pnvlad_pcd/scene0711_00_2835_sub.bin
--scene0752_00_120: FAIL
--scene0784_00_0: FAIL
--scene0758_00_0: FAIL
scene0711_00_3015: scans/scene0711_00/pnvlad_pcd/scene0711_00_3015_sub.bin
--scene0747_00_2325: FAIL
--scene0757_00_1590: FAIL
--scene0717_00_0: FAIL
scene0711_00_3060: scans/scene0711_00/pnvlad_pcd/scene0711_00_3060_sub.bin
--scene0763_00_0: FAIL
--scene0744_00_765: FAIL
--scene0790_00_570: FAIL
scene0711_00_3150: scans/scene0711_00/pnvlad_pcd/scene0711_00_3150_sub.bin
--scene0753_00_0: FAIL
--scene0763_00_0: FAIL
--scene0787_00_1005: FAIL
scene0711_00_3225: scans/scene0711_00/pnvlad_pcd/scene0711_00_3225_sub.bin
--scene0757_00_1140: FAIL
--scene0752_00_120: FAIL
--scene0782_00_885: FAIL
scene0711_00_3315: scans/scene0711_00/pnvlad_pcd/scene0711_00_3315_sub.bin
--scene0761_00_2040: FAIL
--scene0757_00_1140: FAIL
--scene0770_00_870: FAIL
scene0711_00_3330: scans/scene0711_00/pnvlad_pcd/scene0711_00_3330_sub.bin
--scene0757_00_1140: FAIL
--scene0760_00_0: FAIL
--scene0777_00_435: FAIL
scene0712_00_315: scans/scene0712_00/pnvlad_pcd/scene0712_00_315_sub.bin
--scene0767_00_0: FAIL
--scene0775_00_450: FAIL
--scene0761_00_2040: FAIL
scene0712_00_465: scans/scene0712_00/pnvlad_pcd/scene0712_00_465_sub.bin
--scene0725_00_0: FAIL
--scene0720_00_0: FAIL
--scene0734_00_1155: FAIL
scene0712_00_540: scans/scene0712_00/pnvlad_pcd/scene0712_00_540_sub.bin
--scene0707_00_0: FAIL
--scene0787_00_0: FAIL
--scene0738_00_0: FAIL
scene0712_00_705: scans/scene0712_00/pnvlad_pcd/scene0712_00_705_sub.bin
--scene0725_00_0: FAIL
--scene0745_00_0: FAIL
--scene0744_00_765: FAIL
scene0712_00_810: scans/scene0712_00/pnvlad_pcd/scene0712_00_810_sub.bin
--scene0720_00_0: FAIL
--scene0733_00_810: FAIL
--scene0746_00_0: FAIL
scene0712_00_945: scans/scene0712_00/pnvlad_pcd/scene0712_00_945_sub.bin
--scene0799_00_645: FAIL
--scene0747_00_105: FAIL
--scene0746_00_0: FAIL
scene0712_00_1005: scans/scene0712_00/pnvlad_pcd/scene0712_00_1005_sub.bin
--scene0790_00_0: FAIL
--scene0768_00_1095: FAIL
--scene0764_00_0: FAIL
scene0712_00_1095: scans/scene0712_00/pnvlad_pcd/scene0712_00_1095_sub.bin
--scene0720_00_0: FAIL
--scene0785_00_0: FAIL
--scene0746_00_165: FAIL
scene0712_00_1215: scans/scene0712_00/pnvlad_pcd/scene0712_00_1215_sub.bin
--scene0725_00_0: FAIL
--scene0746_00_165: FAIL
--scene0774_00_0: FAIL
scene0712_00_1275: scans/scene0712_00/pnvlad_pcd/scene0712_00_1275_sub.bin
--scene0712_00_0: 1.5209310869592805 SUCCESS
scene0712_00_1335: scans/scene0712_00/pnvlad_pcd/scene0712_00_1335_sub.bin
--scene0768_00_1095: FAIL
--scene0725_00_0: FAIL
--scene0717_00_345: FAIL
scene0712_00_1380: scans/scene0712_00/pnvlad_pcd/scene0712_00_1380_sub.bin
--scene0761_00_2595: FAIL
--scene0752_00_120: FAIL
--scene0763_00_0: FAIL
scene0712_00_1455: scans/scene0712_00/pnvlad_pcd/scene0712_00_1455_sub.bin
--scene0785_00_1035: FAIL
--scene0768_00_1095: FAIL
--scene0790_00_570: FAIL
scene0712_00_1515: scans/scene0712_00/pnvlad_pcd/scene0712_00_1515_sub.bin
--scene0790_00_570: FAIL
--scene0731_00_0: FAIL
--scene0803_00_990: FAIL
scene0712_00_1620: scans/scene0712_00/pnvlad_pcd/scene0712_00_1620_sub.bin
--scene0761_00_2595: FAIL
--scene0787_00_1005: FAIL
--scene0744_00_765: FAIL
scene0712_00_1650: scans/scene0712_00/pnvlad_pcd/scene0712_00_1650_sub.bin
--scene0768_00_1095: FAIL
--scene0760_00_420: FAIL
--scene0746_00_165: FAIL
scene0712_00_1680: scans/scene0712_00/pnvlad_pcd/scene0712_00_1680_sub.bin
--scene0725_00_0: FAIL
--scene0790_00_570: FAIL
--scene0731_00_0: FAIL
scene0712_00_1740: scans/scene0712_00/pnvlad_pcd/scene0712_00_1740_sub.bin
--scene0803_00_990: FAIL
--scene0757_00_0: FAIL
--scene0725_00_0: FAIL
scene0712_00_1875: scans/scene0712_00/pnvlad_pcd/scene0712_00_1875_sub.bin
--scene0725_00_0: FAIL
--scene0720_00_0: FAIL
--scene0707_00_0: FAIL
scene0712_00_1935: scans/scene0712_00/pnvlad_pcd/scene0712_00_1935_sub.bin
--scene0801_00_0: FAIL
--scene0731_00_0: FAIL
--scene0763_00_0: FAIL
scene0712_00_2025: scans/scene0712_00/pnvlad_pcd/scene0712_00_2025_sub.bin
--scene0725_00_0: FAIL
--scene0754_00_0: FAIL
--scene0720_00_0: FAIL
scene0712_00_2070: scans/scene0712_00/pnvlad_pcd/scene0712_00_2070_sub.bin
--scene0775_00_450: FAIL
--scene0746_00_0: FAIL
--scene0790_00_570: FAIL
scene0712_00_2205: scans/scene0712_00/pnvlad_pcd/scene0712_00_2205_sub.bin
--scene0748_00_0: FAIL
--scene0775_00_450: FAIL
--scene0785_00_735: FAIL
scene0712_00_2250: scans/scene0712_00/pnvlad_pcd/scene0712_00_2250_sub.bin
--scene0785_00_1035: FAIL
--scene0731_00_0: FAIL
--scene0801_00_0: FAIL
scene0712_00_2280: scans/scene0712_00/pnvlad_pcd/scene0712_00_2280_sub.bin
--scene0725_00_0: FAIL
--scene0733_00_810: FAIL
--scene0707_00_0: FAIL
scene0712_00_2340: scans/scene0712_00/pnvlad_pcd/scene0712_00_2340_sub.bin
--scene0761_00_2595: FAIL
--scene0768_00_1095: FAIL
--scene0790_00_570: FAIL
scene0712_00_2460: scans/scene0712_00/pnvlad_pcd/scene0712_00_2460_sub.bin
--scene0746_00_165: FAIL
--scene0744_00_765: FAIL
--scene0747_00_2325: FAIL
scene0712_00_2535: scans/scene0712_00/pnvlad_pcd/scene0712_00_2535_sub.bin
--scene0797_00_0: FAIL
--scene0785_00_1035: FAIL
--scene0707_00_0: FAIL
scene0712_00_2580: scans/scene0712_00/pnvlad_pcd/scene0712_00_2580_sub.bin
--scene0803_00_990: FAIL
--scene0725_00_0: FAIL
--scene0717_00_150: FAIL
scene0712_00_2640: scans/scene0712_00/pnvlad_pcd/scene0712_00_2640_sub.bin
--scene0716_00_480: FAIL
--scene0730_00_0: FAIL
--scene0751_00_0: FAIL
scene0712_00_2670: scans/scene0712_00/pnvlad_pcd/scene0712_00_2670_sub.bin
--scene0775_00_450: FAIL
--scene0725_00_0: FAIL
--scene0746_00_0: FAIL
scene0712_00_2745: scans/scene0712_00/pnvlad_pcd/scene0712_00_2745_sub.bin
--scene0736_00_3600: FAIL
--scene0725_00_0: FAIL
--scene0757_00_0: FAIL
